,installation_id,capacity,capacity_rounded,cluster
0,installation41,4.04,4.0,2
2,installation71,3.03,3.0,2
3,installation108,1.03284,1.0,2
4,installation177,5.12,5.0,0
5,installation210,2.407,2.0,2
6,installation224,2.469,2.0,2
7,installation226,2.897,3.0,2
8,installation228,2.771,3.0,2
9,installation229,7.7335600000000015,8.0,0
10,installation231,3.173,3.0,2
11,installation233,2.819,3.0,2
12,installation234,2.015,2.0,2
13,installation239,3.7011200000000026,4.0,2
14,installation243,6.59,7.0,0
15,installation244,4.658,5.0,0
16,installation246,3.9936599999999998,4.0,2
17,installation248,4.364,4.0,2
18,installation252,5.068,5.0,0
19,installation254,15.04,15.0,1
21,installation258,5.832,6.0,0
22,installation259,5.719,6.0,0
23,installation284,4.118,4.0,2
24,installation540,8.235,8.0,0
25,installation1257,7.4435,7.0,0
26,installation1265,8.189,8.0,0
27,installation1266,6.412040000000001,6.0,0
28,installation1267,9.976560000000001,10.0,1
29,installation1268,7.14038,7.0,0
30,installation1269,7.233279999999999,7.0,0
31,installation1271,8.045459999999999,8.0,0
32,installation1272,3.881,4.0,2
33,installation1273,9.626,10.0,1
34,installation1274,5.945,6.0,0
35,installation1275,6.428,6.0,0
36,installation1276,4.954739999999998,5.0,0
37,installation1278,4.07826,4.0,2
38,installation1280,5.163,5.0,0
39,installation1281,6.981,7.0,0
40,installation1285,8.401,8.0,0
41,installation1288,12.829499999999994,13.0,1
42,installation1289,3.118,3.0,2
43,installation1290,5.592040000000001,6.0,0
44,installation1297,16.406,16.0,1
45,installation1300,1.397,1.0,2
46,installation1301,3.436,3.0,2
47,installation1303,3.607,4.0,2
48,installation1311,4.50436,5.0,0
50,installation1315,4.352,4.0,2
51,installation1321,2.367,2.0,2
52,installation1322,4.025,4.0,2
53,installation1323,6.8338399999999995,7.0,0
55,installation1325,2.705,3.0,2
58,installation1350,4.662,5.0,0
59,installation1354,1.475,1.0,2
60,installation1355,4.907,5.0,0
61,installation1356,4.4444799999999995,4.0,2
62,installation1357,4.578399999999998,5.0,0
63,installation1358,2.472,2.0,2
64,installation1361,9.1242,9.0,1
65,installation1367,2.671,3.0,2
66,installation1368,5.462,5.0,0
67,installation1369,4.982,5.0,0
68,installation1374,2.6923600000000008,3.0,2
